Time (hr:min:sec),Time (s),Serial data,Resistance
9:18:57,2937,307,79902.43902
9:18:58,2938,307,79902.43902
9:18:59,2939,307,79902.43902
9:19:00,2940,309,80886.69951
9:19:01,2941,306,79417.47573
9:19:02,2942,304,78461.53846
9:19:03,2943,305,78937.19807
9:19:04,2944,311,81890.54726
9:19:05,2945,309,80886.69951
9:19:06,2946,310,81386.13861
9:19:07,2947,309,80886.69951
9:19:08,2948,307,79902.43902
9:19:09,2949,305,78937.19807
9:19:10,2950,306,79417.47573
9:19:11,2951,306,79417.47573
9:19:12,2952,307,79902.43902
9:19:13,2953,305,78937.19807
9:19:14,2954,304,78461.53846
9:19:15,2955,304,78461.53846
9:19:16,2956,305,78937.19807
9:19:17,2957,306,79417.47573
9:19:18,2958,306,79417.47573
9:19:19,2959,306,79417.47573
9:19:20,2960,307,79902.43902
9:19:21,2961,307,79902.43902
9:19:22,2962,308,80392.15686
9:19:23,2963,307,79902.43902
9:19:24,2964,307,79902.43902
9:19:25,2965,307,79902.43902
9:19:26,2966,308,80392.15686
9:19:27,2967,308,80392.15686
9:19:28,2968,307,79902.43902
9:19:29,2969,307,79902.43902
9:19:30,2970,306,79417.47573
9:19:31,2971,307,79902.43902
9:19:32,2972,307,79902.43902
9:19:33,2973,306,79417.47573
9:19:34,2974,306,79417.47573
9:19:35,2975,306,79417.47573
9:19:36,2976,305,78937.19807
9:19:37,2977,306,79417.47573
9:19:38,2978,306,79417.47573
9:19:39,2979,306,79417.47573
9:19:40,2980,306,79417.47573
9:19:41,2981,306,79417.47573
9:19:42,2982,307,79902.43902
9:19:43,2983,307,79902.43902
9:19:44,2984,308,80392.15686
9:19:45,2985,309,80886.69951
9:19:46,2986,308,80392.15686
9:19:47,2987,309,80886.69951
9:19:48,2988,309,80886.69951
9:19:49,2989,309,80886.69951
9:19:50,2990,308,80392.15686
9:19:51,2991,310,81386.13861
9:19:52,2992,310,81386.13861
9:19:53,2993,309,80886.69951
9:19:54,2994,308,80392.15686
9:19:55,2995,308,80392.15686
9:19:56,2996,309,80886.69951
9:19:57,2997,308,80392.15686
9:19:58,2998,308,80392.15686
9:19:59,2999,308,80392.15686
9:20:00,3000,308,80392.15686
9:20:01,3001,308,80392.15686
9:20:02,3002,308,80392.15686
9:20:03,3003,308,80392.15686
9:20:04,3004,308,80392.15686
9:20:05,3005,309,80886.69951
9:20:06,3006,309,80886.69951
9:20:07,3007,309,80886.69951
9:20:08,3008,310,81386.13861
9:20:09,3009,310,81386.13861
9:20:10,3010,311,81890.54726
9:20:11,3011,311,81890.54726
9:20:12,3012,310,81386.13861
9:20:13,3013,311,81890.54726
9:20:14,3014,311,81890.54726
9:20:15,3015,311,81890.54726
9:20:16,3016,310,81386.13861
9:20:17,3017,311,81890.54726
9:20:18,3018,310,81386.13861
